time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,10,6.459435,0.017705,0.000000,4289.182117
0.100000,10,17,15.684313,0.000000,0.300000,0.002667
0.600000,17,18,9.602878,0.001260,0.109423,0.007311
1.100000,18,17,17.431295,0.000000,0.300000,0.002667
1.300000,17,18,10.807896,0.000260,0.243709,0.003283
1.500000,18,25,16.408294,0.000000,0.300000,0.002667
1.700000,25,none,0.000000,0.500000,0.000000,0.000000
1.800000,none,19,9.415561,0.001556,0.086333,0.009266
2.100000,19,26,5.223547,0.034028,0.000000,2845876541.782304
2.500000,26,none,0.000000,0.500000,0.000000,0.000000
2.600000,none,20,11.874365,0.000044,0.289725,0.002761
2.700000,20,19,11.008575,0.000191,0.257400,0.003108
3.000000,19,26,17.339897,0.000000,0.300000,0.002667
3.800000,26,19,4.893545,0.039491,0.000000,266879977918.251617
4.100000,19,18,12.248946,0.000021,0.295016,0.002712
4.300000,18,11,9.388733,0.001602,0.083167,0.009619
4.700000,11,10,19.138625,0.000000,0.300000,0.002667
5.500000,10,11,13.003431,0.000004,0.299057,0.002675
5.600000,11,10,9.614378,0.001243,0.110884,0.007215
6.300000,10,11,7.582529,0.008333,0.000371,2.153453
6.700000,11,18,7.206595,0.010935,0.000045,17.628177
7.100000,18,19,11.029768,0.000185,0.258683,0.003093
7.300000,19,18,18.499952,0.000000,0.300000,0.002667
7.500000,18,none,0.000000,0.500000,0.000000,0.000000
7.600000,none,18,6.210822,0.020463,0.000000,40664.390516
7.700000,18,19,14.334989,0.000000,0.299977,0.002667
7.800000,19,18,7.443458,0.009237,0.000179,4.467531
7.900000,18,none,0.000000,0.500000,0.000000,0.000000
8.000000,none,26,7.421634,0.009385,0.000159,5.034820
8.200000,26,19,6.236822,0.020162,0.000000,31812.140180
8.400000,19,18,16.506927,0.000000,0.300000,0.002667
8.600000,18,25,7.066463,0.012038,0.000019,43.027236
8.700000,25,none,0.000000,0.500000,0.000000,0.000000
8.800000,none,18,10.950649,0.000209,0.253737,0.003153
8.900000,18,19,14.149558,0.000000,0.299959,0.002667
9.200000,19,26,9.463735,0.001475,0.092119,0.008684
9.300000,26,none,0.000000,0.500000,0.000000,0.000000
9.400000,none,18,11.946377,0.000038,0.291013,0.002749
10.100000,18,none,0.000000,0.500000,0.000000,0.000000
10.200000,none,26,12.585921,0.000010,0.297545,0.002689
10.600000,26,25,13.016017,0.000004,0.299085,0.002675
10.900000,25,18,8.063746,0.005697,0.003106,0.257573
11.000000,18,25,10.287479,0.000540,0.194704,0.004109
11.500000,25,18,4.424509,0.048029,0.000000,inf
11.900000,18,none,0.000000,0.500000,0.000000,0.000000
12.000000,none,24,8.825763,0.002869,0.030127,0.026554
12.100000,24,none,0.000000,0.500000,0.000000,0.000000
12.300000,none,25,13.668754,0.000001,0.299831,0.002668
12.800000,25,18,13.448694,0.000001,0.299693,0.002669
13.700000,18,17,8.451503,0.004074,0.011453,0.069849
13.800000,17,18,11.468469,0.000090,0.279095,0.002866
14.000000,18,none,0.000000,0.500000,0.000000,0.000000
14.100000,none,11,7.763124,0.007256,0.000885,0.904319
14.300000,11,18,11.999517,0.000034,0.291872,0.002741
14.800000,18,25,8.161383,0.005249,0.004454,0.179633
15.100000,25,26,16.504876,0.000000,0.300000,0.002667
15.400000,26,none,0.000000,0.500000,0.000000,0.000000
15.500000,none,19,10.808569,0.000259,0.243760,0.003282
15.900000,19,20,14.519646,0.000000,0.299988,0.002667
16.200000,20,26,4.547192,0.045710,0.000000,inf
16.800000,26,27,8.832236,0.002851,0.030567,0.026172
16.900000,27,20,7.093093,0.011823,0.000022,36.145355
17.600000,20,19,10.573566,0.000365,0.224040,0.003571
17.700000,19,none,0.000000,0.500000,0.000000,0.000000
17.800000,none,27,5.926658,0.023937,0.000000,697720.324971
17.900000,27,20,11.194946,0.000142,0.267687,0.002989
18.200000,20,none,0.000000,0.500000,0.000000,0.000000
18.400000,none,26,6.088207,0.021919,0.000000,133742.947943
18.500000,26,19,5.525349,0.029436,0.000000,64043338.717498
18.600000,19,20,11.717025,0.000058,0.286345,0.002794
18.700000,20,19,13.252543,0.000002,0.299490,0.002671
18.900000,19,20,13.716661,0.000001,0.299853,0.002668
19.800000,20,13,17.223080,0.000000,0.300000,0.002667
20.400000,13,12,9.689965,0.001139,0.120559,0.006636
21.300000,12,11,18.763886,0.000000,0.300000,0.002667
21.700000,11,10,18.092144,0.000000,0.300000,0.002667
22.000000,10,11,12.937387,0.000005,0.298896,0.002677
23.100000,11,10,14.908501,0.000000,0.299997,0.002667
23.500000,10,none,0.000000,0.500000,0.000000,0.000000
23.600000,none,17,13.890494,0.000000,0.299911,0.002667
23.900000,17,none,0.000000,0.500000,0.000000,0.000000
24.000000,none,16,11.225511,0.000136,0.269168,0.002972
24.200000,16,17,19.535370,0.000000,0.300000,0.002667
24.700000,17,18,16.958108,0.000000,0.300000,0.002667
25.300000,18,none,0.000000,0.500000,0.000000,0.000000
25.400000,none,11,7.309260,0.010174,0.000084,9.525777
26.700000,11,10,6.852612,0.013866,0.000004,189.349180
27.000000,10,11,18.108704,0.000000,0.300000,0.002667
27.200000,11,none,0.000000,0.500000,0.000000,0.000000
27.300000,none,4,8.348086,0.004467,0.008351,0.095791
27.400000,4,3,15.232500,0.000000,0.299999,0.002667
28.200000,3,10,12.923930,0.000005,0.298860,0.002677
28.400000,10,11,14.857807,0.000000,0.299996,0.002667
28.600000,11,none,0.000000,0.500000,0.000000,0.000000
28.700000,none,17,5.377602,0.031635,0.000000,393228741.898475
29.200000,17,16,13.431966,0.000001,0.299680,0.002670
30.000000,16,none,0.000000,0.500000,0.000000,0.000000
30.100000,none,22,7.194479,0.011028,0.000042,18.996404
30.400000,22,none,0.000000,0.500000,0.000000,0.000000
30.500000,none,15,8.006305,0.005973,0.002486,0.321789
31.100000,15,none,0.000000,0.500000,0.000000,0.000000
31.200000,none,23,6.297976,0.019466,0.000000,18027.853084
32.600000,23,16,12.519945,0.000012,0.297167,0.002692
33.100000,16,none,0.000000,0.500000,0.000000,0.000000
33.200000,none,8,10.596768,0.000353,0.226167,0.003537
34.300000,8,9,6.604023,0.016220,0.000001,1280.827100
34.700000,9,16,8.361991,0.004412,0.008725,0.091689
35.000000,16,17,8.102193,0.005517,0.003589,0.222900
36.200000,17,none,0.000000,0.500000,0.000000,0.000000
36.300000,none,16,11.838174,0.000047,0.289019,0.002768
36.500000,16,23,10.501462,0.000404,0.217180,0.003684
37.000000,23,16,6.729078,0.015005,0.000002,477.068432
37.400000,16,15,10.313789,0.000522,0.197629,0.004048
37.700000,15,8,12.014822,0.000033,0.292105,0.002739
38.100000,8,none,0.000000,0.500000,0.000000,0.000000
38.200000,none,1,12.830359,0.000006,0.298582,0.002679
38.400000,1,none,0.000000,0.500000,0.000000,0.000000
38.500000,none,8,5.102802,0.035974,0.000000,14280141505.732843
39.800000,8,none,0.000000,0.500000,0.000000,0.000000
39.900000,none,1,11.264594,0.000127,0.270982,0.002952
40.100000,1,8,7.331597,0.010014,0.000096,8.366928
40.300000,8,9,15.088797,0.000000,0.299998,0.002667
40.500000,9,none,0.000000,0.500000,0.000000,0.000000
40.600000,none,1,5.839200,0.025076,0.000000,1775741.760131
40.900000,1,8,6.305676,0.019380,0.000000,16799.443092
41.000000,8,1,12.949046,0.000004,0.298926,0.002676
41.200000,1,0,9.644238,0.001201,0.114692,0.006975
41.600000,0,none,0.000000,0.500000,0.000000,0.000000
41.800000,none,0,12.915344,0.000005,0.298837,0.002677
42.600000,0,none,0.000000,0.500000,0.000000,0.000000
42.700000,none,7,10.111325,0.000680,0.174114,0.004595
42.900000,7,0,13.121679,0.000003,0.299293,0.002673
43.100000,0,none,0.000000,0.500000,0.000000,0.000000
43.200000,none,0,8.673982,0.003318,0.021006,0.038085
44.100000,0,none,0.000000,0.500000,0.000000,0.000000
44.200000,none,8,10.177840,0.000624,0.182081,0.004394
44.400000,8,7,15.133658,0.000000,0.299999,0.002667
44.800000,7,8,17.678085,0.000000,0.300000,0.002667
45.000000,8,7,21.134299,0.000000,0.300000,0.002667
45.700000,7,8,7.828201,0.006895,0.001184,0.675780
46.500000,8,none,0.000000,0.500000,0.000000,0.000000
46.600000,none,8,10.159205,0.000639,0.179871,0.004448
46.900000,8,9,5.780832,0.025855,0.000000,3364711.932469
47.000000,9,2,13.066856,0.000003,0.299191,0.002674
47.500000,2,none,0.000000,0.500000,0.000000,0.000000
47.600000,none,10,7.662645,0.007842,0.000552,1.449527
47.700000,10,3,7.093794,0.011817,0.000022,35.980921
47.900000,3,4,14.008842,0.000000,0.299937,0.002667
48.200000,4,3,17.743095,0.000000,0.300000,0.002667
48.300000,3,4,12.186280,0.000024,0.294348,0.002718
48.600000,4,11,6.043077,0.022472,0.000000,210149.903940
49.000000,11,none,0.000000,0.500000,0.000000,0.000000
49.100000,none,4,11.780685,0.000052,0.287812,0.002780
49.400000,4,5,9.784619,0.001018,0.132779,0.006025
49.500000,5,none,0.000000,0.500000,0.000000,0.000000
49.600000,none,12,13.916702,0.000000,0.299917,0.002667
50.500000,12,11,5.931493,0.023875,0.000000,663144.008673
51.600000,11,18,4.414630,0.048218,0.000000,inf
51.700000,18,17,7.060038,0.012090,0.000018,44.890117
52.000000,17,16,8.825986,0.002868,0.030142,0.026541
52.300000,16,9,6.750913,0.014799,0.000002,403.683341
52.400000,9,10,14.905860,0.000000,0.299997,0.002667
53.200000,10,9,5.087521,0.036224,0.000000,17583600302.081001
53.600000,9,8,15.439688,0.000000,0.300000,0.002667
54.000000,8,15,15.981466,0.000000,0.300000,0.002667
54.700000,15,14,15.988080,0.000000,0.300000,0.002667
55.200000,14,none,0.000000,0.500000,0.000000,0.000000
55.300000,none,21,13.969291,0.000000,0.299929,0.002667
55.600000,21,22,17.829815,0.000000,0.300000,0.002667
56.400000,22,15,11.415680,0.000099,0.277200,0.002886
56.700000,15,16,14.221856,0.000000,0.299967,0.002667
56.900000,16,15,13.178365,0.000003,0.299385,0.002672
57.200000,15,16,20.353443,0.000000,0.300000,0.002667
57.800000,16,none,0.000000,0.500000,0.000000,0.000000
57.900000,none,23,7.734070,0.007422,0.000774,1.033633
58.100000,23,15,5.836886,0.025107,0.000000,1820870.128480
58.200000,15,22,6.881464,0.013609,0.000005,153.705506
58.700000,22,15,15.107631,0.000000,0.299999,0.002667
59.200000,15,22,10.841226,0.000247,0.246181,0.003250
59.600000,22,23,12.989106,0.000004,0.299024,0.002675
59.800000,23,none,0.000000,0.500000,0.000000,0.000000
59.900000,none,15,12.244014,0.000021,0.294966,0.002712
60.200000,15,16,21.263589,0.000000,0.300000,0.002667
60.800000,16,15,13.813688,0.000000,0.299888,0.002668
61.900000,15,16,4.885630,0.039628,0.000000,296533308798.057312
62.000000,16,15,13.092964,0.000003,0.299241,0.002673
62.300000,15,16,14.563448,0.000000,0.299989,0.002667
62.700000,16,15,17.008858,0.000000,0.300000,0.002667
63.200000,15,none,0.000000,0.500000,0.000000,0.000000
63.300000,none,16,6.192382,0.020678,0.000000,48469.921800
63.500000,16,9,13.191653,0.000002,0.299405,0.002672
63.700000,9,none,0.000000,0.500000,0.000000,0.000000
63.800000,none,15,8.041951,0.005801,0.002857,0.280010
65.000000,15,8,5.404614,0.031226,0.000000,280476873.461736
65.400000,8,9,14.892624,0.000000,0.299997,0.002667
65.800000,9,10,11.447985,0.000094,0.278376,0.002874
65.900000,10,none,0.000000,0.500000,0.000000,0.000000
66.000000,none,16,7.457149,0.009145,0.000193,4.147679
66.100000,16,9,10.041053,0.000743,0.165482,0.004834
67.500000,9,16,10.890365,0.000229,0.249679,0.003204
68.000000,16,none,0.000000,0.500000,0.000000,0.000000
68.100000,none,9,5.690263,0.027092,0.000000,9300152.908851
68.200000,9,none,0.000000,0.500000,0.000000,0.000000
68.300000,none,15,14.023053,0.000000,0.299940,0.002667
68.700000,15,14,10.498115,0.000406,0.216852,0.003689
69.000000,14,15,15.346482,0.000000,0.299999,0.002667
69.200000,15,14,17.518823,0.000000,0.300000,0.002667
70.200000,14,15,16.280171,0.000000,0.300000,0.002667
70.500000,15,8,11.427850,0.000097,0.277649,0.002881
70.600000,8,15,13.497900,0.000001,0.299731,0.002669
71.200000,15,14,7.766399,0.007238,0.000898,0.890922
71.500000,14,15,14.634079,0.000000,0.299992,0.002667
71.700000,15,none,0.000000,0.500000,0.000000,0.000000
71.800000,none,21,12.836053,0.000006,0.298601,0.002679
72.000000,21,22,17.945046,0.000000,0.300000,0.002667
72.700000,22,15,10.951435,0.000209,0.253789,0.003152
72.900000,15,22,14.966421,0.000000,0.299997,0.002667
73.100000,22,21,11.084844,0.000170,0.261879,0.003055
73.500000,21,14,17.989308,0.000000,0.300000,0.002667
73.700000,14,none,0.000000,0.500000,0.000000,0.000000
73.800000,none,22,11.054249,0.000178,0.260128,0.003075
74.200000,22,15,9.078803,0.002227,0.050408,0.015871
74.400000,15,22,4.688650,0.043112,0.000000,6004799503160.661133
74.700000,22,15,9.069417,0.002249,0.049543,0.016147
74.900000,15,22,9.964058,0.000819,0.155817,0.005134
75.700000,22,21,17.018912,0.000000,0.300000,0.002667
76.000000,21,none,0.000000,0.500000,0.000000,0.000000
76.100000,none,14,5.670029,0.027373,0.000000,11720323.833622
76.200000,14,21,12.461580,0.000013,0.296791,0.002696
76.800000,21,none,0.000000,0.500000,0.000000,0.000000
77.000000,none,22,10.222097,0.000589,0.187258,0.004272
77.200000,22,15,10.321047,0.000517,0.198428,0.004032
78.400000,15,16,13.023141,0.000004,0.299100,0.002675
79.000000,16,15,15.128684,0.000000,0.299999,0.002667
79.400000,15,16,9.614937,0.001243,0.110955,0.007210
79.600000,16,9,7.768872,0.007224,0.000908,0.880955
79.800000,9,10,17.057823,0.000000,0.300000,0.002667
80.200000,10,11,5.998060,0.023031,0.000000,332275.149841
80.300000,11,4,7.538999,0.008608,0.000297,2.690166
80.600000,4,none,0.000000,0.500000,0.000000,0.000000
80.700000,none,10,10.059429,0.000726,0.167759,0.004769
81.000000,10,9,12.736474,0.000007,0.298243,0.002682
81.100000,9,10,10.330715,0.000510,0.199488,0.004010
81.300000,10,3,8.252357,0.004856,0.006109,0.130959
81.900000,3,4,14.378974,0.000000,0.299980,0.002667
82.100000,4,3,19.609431,0.000000,0.300000,0.002667
82.400000,3,2,16.104745,0.000000,0.300000,0.002667
82.700000,2,3,7.068329,0.012023,0.000019,42.502056
82.800000,3,10,5.236883,0.033817,0.000000,2389256740.539405
83.000000,10,none,0.000000,0.500000,0.000000,0.000000
83.100000,none,2,4.703158,0.042850,0.000000,4803839602528.529297
83.200000,2,9,14.267272,0.000000,0.299972,0.002667
83.500000,9,none,0.000000,0.500000,0.000000,0.000000
83.600000,none,2,8.395206,0.004284,0.009671,0.082723
83.700000,2,3,14.493196,0.000000,0.299986,0.002667
84.100000,3,10,15.968938,0.000000,0.300000,0.002667
84.500000,10,11,17.367266,0.000000,0.300000,0.002667
85.200000,11,12,15.940387,0.000000,0.300000,0.002667
85.600000,12,13,14.194941,0.000000,0.299964,0.002667
86.100000,13,none,0.000000,0.500000,0.000000,0.000000
86.200000,none,19,8.048487,0.005769,0.002930,0.273052
86.400000,19,12,10.408089,0.000459,0.207750,0.003851
86.700000,12,19,13.018954,0.000004,0.299091,0.002675
87.000000,19,20,15.762477,0.000000,0.300000,0.002667
87.100000,20,19,11.169419,0.000148,0.266408,0.003003
87.500000,19,20,14.688885,0.000000,0.299993,0.002667
87.700000,20,13,8.390701,0.004301,0.009538,0.083874
88.400000,13,12,14.713926,0.000000,0.299994,0.002667
88.600000,12,none,0.000000,0.500000,0.000000,0.000000
88.700000,none,20,8.071557,0.005660,0.003199,0.250047
90.000000,20,13,15.493854,0.000000,0.300000,0.002667
90.400000,13,12,9.677012,0.001156,0.118893,0.006729
90.900000,12,none,0.000000,0.500000,0.000000,0.000000
91.000000,none,18,11.632117,0.000068,0.284156,0.002815
91.500000,18,25,9.601628,0.001262,0.109265,0.007322
91.900000,25,18,12.400309,0.000015,0.296349,0.002700
92.100000,18,25,6.973007,0.012815,0.000010,80.743025
92.200000,25,24,12.433033,0.000014,0.296591,0.002697
92.600000,24,23,20.671412,0.000000,0.300000,0.002667
92.900000,23,none,0.000000,0.500000,0.000000,0.000000
93.000000,none,16,13.338942,0.000002,0.299591,0.002670
93.200000,16,23,12.773810,0.000007,0.298386,0.002681
93.300000,23,16,11.380377,0.000105,0.275855,0.002900
93.600000,16,23,14.096535,0.000000,0.299952,0.002667
94.000000,23,16,4.456920,0.047410,0.000000,inf
94.800000,16,9,14.004841,0.000000,0.299936,0.002667
96.000000,9,8,19.555607,0.000000,0.300000,0.002667
96.200000,8,none,0.000000,0.500000,0.000000,0.000000
96.300000,none,1,7.737458,0.007403,0.000786,1.017529
96.500000,1,2,13.964109,0.000000,0.299928,0.002667
96.800000,2,1,8.591857,0.003583,0.016981,0.047112
96.900000,1,8,11.517529,0.000083,0.280737,0.002850
97.300000,8,9,5.407840,0.031177,0.000000,269433609.797780
97.400000,9,8,11.175732,0.000147,0.266728,0.002999
97.800000,8,9,20.308242,0.000000,0.300000,0.002667
98.100000,9,2,5.856507,0.024848,0.000000,1472745.782938
98.200000,2,1,12.528923,0.000012,0.297221,0.002692
98.400000,1,2,16.421919,0.000000,0.300000,0.002667
99.300000,2,3,14.323566,0.000000,0.299976,0.002667
99.600000,3,2,11.122381,0.000160,0.263945,0.003031
100.300000,2,none,0.000000,0.500000,0.000000,0.000000
100.400000,none,9,11.354337,0.000110,0.274822,0.002911
100.800000,9,none,0.000000,0.500000,0.000000,0.000000
100.900000,none,16,6.424479,0.018077,0.000000,5807.655821
101.200000,16,17,14.840867,0.000000,0.299996,0.002667
101.900000,17,16,11.725271,0.000057,0.286543,0.002792
102.100000,16,9,10.298830,0.000532,0.195971,0.004082
102.500000,9,8,13.735234,0.000001,0.299860,0.002668
102.800000,8,15,5.561704,0.028909,0.000000,41491817.120079
102.900000,15,14,9.743278,0.001070,0.127435,0.006278
