scenario,speed_mps,fov_deg,n_aps,mobility_model,hysteresis_dB,handover_count,ho_per_min,pingpong_count,pingpong_rate_pct,avg_snr_dB,min_snr_dB,max_snr_dB,avg_ber,avg_reff_active_Mbps,avg_reff_overall_Mbps,coverage_pct,disconnected_pct,t_connected_s,t_disconnected_s,avg_conn_session_s,avg_gap_session_s
S2_RW_Hyst,3.000000,45.000000,16,RandomWalk2D,3.000000,142,71.000000,2,8.333333,12.734400,4.380788,23.845769,6.087848e-03,0.182756,0.103866,56.833333,43.166667,68.200000,51.800000,1.155932,0.863333
S2_RW_noHyst,8.000000,45.000000,16,RandomWalk2D,0.000000,302,151.000000,9,15.789474,13.169036,4.388499,23.851829,5.236775e-03,0.195032,0.118320,60.666667,39.333333,72.800000,47.200000,0.591870,0.383740
S2_RW_Hyst,8.000000,45.000000,16,RandomWalk2D,3.000000,298,149.000000,5,9.433962,13.169036,4.388499,23.851829,5.236775e-03,0.195032,0.118320,60.666667,39.333333,72.800000,47.200000,0.591870,0.383740
S3_WP_noHyst,1.000000,28.500000,25,Waypoint,0.000000,13,45.882353,0,0.000000,17.872156,16.676213,18.408425,3.598289e-13,0.300000,0.127059,42.352941,57.647059,7.200000,9.800000,1.028571,1.400000
S3_WP_Hyst,1.000000,28.500000,25,Waypoint,3.000000,13,45.882353,0,0.000000,17.872156,16.676213,18.408425,3.598289e-13,0.300000,0.127059,42.352941,57.647059,7.200000,9.800000,1.028571,1.400000
S3_WP_noHyst,3.000000,28.500000,25,Waypoint,0.000000,13,123.157895,0,0.000000,17.971068,16.676213,18.408425,2.609995e-13,0.300000,0.150000,50.000000,50.000000,3.166667,3.166667,0.447619,0.457143
S3_WP_Hyst,3.000000,28.500000,25,Waypoint,3.000000,13,123.157895,0,0.000000,17.971068,16.676213,18.408425,2.609995e-13,0.300000,0.150000,50.000000,50.000000,3.166667,3.166667,0.447619,0.457143
S3_WP_noHyst,8.000000,28.500000,25,Waypoint,0.000000,13,260.000000,0,0.000000,18.282507,17.904753,18.408425,5.245960e-16,0.300000,0.160000,53.333333,46.666667,1.600000,1.400000,0.228571,0.200000
S3_WP_Hyst,8.000000,28.500000,25,Waypoint,3.000000,13,260.000000,0,0.000000,18.282507,17.904753,18.408425,5.245960e-16,0.300000,0.160000,53.333333,46.666667,1.600000,1.400000,0.228571,0.200000
S3_RW_noHyst,1.000000,28.500000,25,RandomWalk2D,0.000000,44,22.000000,0,0.000000,19.553325,16.607922,23.791957,1.958909e-13,0.300000,0.068250,22.750000,77.250000,27.300000,92.700000,1.240909,4.030435
S3_RW_Hyst,1.000000,28.500000,25,RandomWalk2D,3.000000,44,22.000000,0,0.000000,19.553325,16.607922,23.791957,1.958909e-13,0.300000,0.068250,22.750000,77.250000,27.300000,92.700000,1.240909,4.030435
S3_RW_noHyst,3.000000,28.500000,25,RandomWalk2D,0.000000,149,74.500000,0,0.000000,20.018749,16.607922,23.845769,1.833604e-13,0.300000,0.092000,30.666667,69.333333,36.800000,83.200000,0.490667,1.109333
S3_RW_Hyst,3.000000,28.500000,25,RandomWalk2D,3.000000,149,74.500000,0,0.000000,20.018749,16.607922,23.845769,1.833604e-13,0.300000,0.092000,30.666667,69.333333,36.800000,83.200000,0.490667,1.109333
S3_RW_noHyst,8.000000,28.500000,25,RandomWalk2D,0.000000,364,182.000000,0,0.000000,20.015777,16.604452,23.856148,1.531711e-13,0.300000,0.102500,34.166667,65.833333,41.000000,79.000000,0.225275,0.431694
S3_RW_Hyst,8.000000,28.500000,25,RandomWalk2D,3.000000,364,182.000000,0,0.000000,20.015777,16.604452,23.856148,1.531711e-13,0.300000,0.102500,34.166667,65.833333,41.000000,79.000000,0.225275,0.431694
