ap_id,ap_x,ap_y,ap_z
0,0,0,3
1,0,3.2,3
2,0,6.4,3
3,0,9.6,3
4,0,12.8,3
5,0,16,3
6,5,0,3
7,5,3.2,3
8,5,6.4,3
9,5,9.6,3
10,5,12.8,3
11,5,16,3
12,10,0,3
13,10,3.2,3
14,10,6.4,3
15,10,9.6,3
16,10,12.8,3
17,10,16,3
