time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps
0.200000,none,10,20.212653,0.000000,0.300000
0.400000,10,none,0.000000,0.500000,0.000000
0.700000,none,10,21.156988,0.000000,0.300000
0.900000,10,none,0.000000,0.500000,0.000000
1.100000,none,11,19.234062,0.000000,0.300000
1.200000,11,none,0.000000,0.500000,0.000000
1.300000,none,10,19.308513,0.000000,0.300000
1.500000,10,none,0.000000,0.500000,0.000000
2.400000,none,10,18.413749,0.000000,0.300000
2.500000,10,none,0.000000,0.500000,0.000000
3.200000,none,10,22.271029,0.000000,0.300000
3.300000,10,none,0.000000,0.500000,0.000000
3.600000,none,3,16.990359,0.000000,0.300000
3.800000,3,none,0.000000,0.500000,0.000000
4.400000,none,2,18.998231,0.000000,0.300000
4.600000,2,none,0.000000,0.500000,0.000000
4.700000,none,3,17.535892,0.000000,0.300000
5.100000,3,none,0.000000,0.500000,0.000000
5.200000,none,3,21.732496,0.000000,0.300000
5.400000,3,none,0.000000,0.500000,0.000000
5.700000,none,3,18.297673,0.000000,0.300000
5.800000,3,none,0.000000,0.500000,0.000000
5.900000,none,3,21.091294,0.000000,0.300000
6.100000,3,none,0.000000,0.500000,0.000000
7.000000,none,17,19.659457,0.000000,0.300000
7.200000,17,none,0.000000,0.500000,0.000000
7.400000,none,24,17.092157,0.000000,0.300000
7.600000,24,none,0.000000,0.500000,0.000000
7.900000,none,25,17.471167,0.000000,0.300000
8.200000,25,none,0.000000,0.500000,0.000000
8.800000,none,17,17.544647,0.000000,0.300000
9.300000,17,none,0.000000,0.500000,0.000000
9.400000,none,18,19.792034,0.000000,0.300000
9.700000,18,none,0.000000,0.500000,0.000000
9.900000,none,18,22.282357,0.000000,0.300000
10.100000,18,none,0.000000,0.500000,0.000000
10.200000,none,19,23.191822,0.000000,0.300000
10.400000,19,none,0.000000,0.500000,0.000000
10.500000,none,20,19.489856,0.000000,0.300000
10.600000,20,none,0.000000,0.500000,0.000000
10.700000,none,19,20.787496,0.000000,0.300000
11.200000,19,none,0.000000,0.500000,0.000000
11.300000,none,20,18.177758,0.000000,0.300000
11.600000,20,none,0.000000,0.500000,0.000000
11.700000,none,19,17.309059,0.000000,0.300000
11.800000,19,none,0.000000,0.500000,0.000000
11.900000,none,19,21.052724,0.000000,0.300000
12.100000,19,none,0.000000,0.500000,0.000000
12.300000,none,18,18.843366,0.000000,0.300000
12.600000,18,none,0.000000,0.500000,0.000000
12.700000,none,18,17.373804,0.000000,0.300000
12.800000,18,none,0.000000,0.500000,0.000000
13.000000,none,19,18.582392,0.000000,0.300000
13.300000,19,none,0.000000,0.500000,0.000000
13.600000,none,11,17.277911,0.000000,0.300000
13.800000,11,none,0.000000,0.500000,0.000000
13.900000,none,10,17.634348,0.000000,0.300000
14.000000,10,none,0.000000,0.500000,0.000000
14.200000,none,3,19.224454,0.000000,0.300000
14.400000,3,none,0.000000,0.500000,0.000000
14.600000,none,10,22.639963,0.000000,0.300000
14.800000,10,none,0.000000,0.500000,0.000000
15.000000,none,3,21.068124,0.000000,0.300000
15.200000,3,none,0.000000,0.500000,0.000000
15.300000,none,3,21.764846,0.000000,0.300000
15.900000,3,none,0.000000,0.500000,0.000000
16.000000,none,4,19.780144,0.000000,0.300000
16.200000,4,none,0.000000,0.500000,0.000000
17.000000,none,17,17.214373,0.000000,0.300000
17.200000,17,none,0.000000,0.500000,0.000000
17.900000,none,18,21.275262,0.000000,0.300000
18.100000,18,none,0.000000,0.500000,0.000000
18.900000,none,18,17.458820,0.000000,0.300000
19.100000,18,none,0.000000,0.500000,0.000000
19.700000,none,26,17.600567,0.000000,0.300000
19.900000,26,none,0.000000,0.500000,0.000000
20.000000,none,25,19.268400,0.000000,0.300000
20.300000,25,none,0.000000,0.500000,0.000000
21.000000,none,18,20.045109,0.000000,0.300000
21.100000,18,none,0.000000,0.500000,0.000000
