time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps
9.200000,none,16,16.796024,0.000000,0.300000
10.600000,16,none,0.000000,0.500000,0.000000
11.900000,none,17,17.059166,0.000000,0.300000
13.200000,17,none,0.000000,0.500000,0.000000
14.300000,none,16,17.094907,0.000000,0.300000
15.700000,16,none,0.000000,0.500000,0.000000
21.400000,none,23,17.373650,0.000000,0.300000
23.100000,23,none,0.000000,0.500000,0.000000
25.000000,none,23,17.691467,0.000000,0.300000
26.100000,23,none,0.000000,0.500000,0.000000
27.600000,none,16,16.775475,0.000000,0.300000
30.700000,16,none,0.000000,0.500000,0.000000
32.800000,none,9,17.284476,0.000000,0.300000
33.200000,9,none,0.000000,0.500000,0.000000
34.100000,none,10,17.784519,0.000000,0.300000
35.600000,10,none,0.000000,0.500000,0.000000
37.000000,none,3,16.604718,0.000000,0.300000
38.400000,3,none,0.000000,0.500000,0.000000
39.900000,none,3,16.629146,0.000000,0.300000
42.000000,3,none,0.000000,0.500000,0.000000
42.100000,none,3,16.842858,0.000000,0.300000
43.000000,3,none,0.000000,0.500000,0.000000
44.700000,none,10,17.654704,0.000000,0.300000
46.600000,10,none,0.000000,0.500000,0.000000
49.400000,none,11,17.655784,0.000000,0.300000
50.800000,11,none,0.000000,0.500000,0.000000
60.400000,none,11,16.945065,0.000000,0.300000
62.100000,11,none,0.000000,0.500000,0.000000
62.900000,none,10,17.423430,0.000000,0.300000
63.500000,10,none,0.000000,0.500000,0.000000
65.500000,none,3,17.311993,0.000000,0.300000
66.300000,3,none,0.000000,0.500000,0.000000
70.200000,none,10,17.502202,0.000000,0.300000
71.700000,10,none,0.000000,0.500000,0.000000
72.400000,none,10,17.600292,0.000000,0.300000
74.200000,10,none,0.000000,0.500000,0.000000
78.800000,none,17,17.039991,0.000000,0.300000
80.300000,17,none,0.000000,0.500000,0.000000
83.200000,none,25,17.484857,0.000000,0.300000
84.700000,25,none,0.000000,0.500000,0.000000
87.200000,none,18,16.679294,0.000000,0.300000
87.500000,18,none,0.000000,0.500000,0.000000
89.400000,none,17,16.642074,0.000000,0.300000
90.500000,17,none,0.000000,0.500000,0.000000
94.300000,none,24,16.836519,0.000000,0.300000
95.800000,24,none,0.000000,0.500000,0.000000
99.800000,none,17,17.623459,0.000000,0.300000
101.500000,17,none,0.000000,0.500000,0.000000
102.600000,none,17,17.398254,0.000000,0.300000
104.600000,17,none,0.000000,0.500000,0.000000
107.200000,none,17,17.533771,0.000000,0.300000
109.100000,17,none,0.000000,0.500000,0.000000
112.200000,none,18,16.689895,0.000000,0.300000
113.700000,18,none,0.000000,0.500000,0.000000
116.200000,none,11,16.630000,0.000000,0.300000
116.900000,11,none,0.000000,0.500000,0.000000
117.100000,none,11,17.243550,0.000000,0.300000
119.900000,11,none,0.000000,0.500000,0.000000
