time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps
100.500000,18,none,0.000000,0.500000,0.000000
100.700000,none,18,17.826272,0.000000,0.300000
101.000000,18,none,0.000000,0.500000,0.000000
101.100000,none,18,18.891310,0.000000,0.300000
101.700000,18,none,0.000000,0.500000,0.000000
102.100000,none,17,17.842026,0.000000,0.300000
102.700000,17,none,0.000000,0.500000,0.000000
103.700000,none,24,19.417093,0.000000,0.300000
104.500000,24,none,0.000000,0.500000,0.000000
106.000000,none,26,19.726389,0.000000,0.300000
106.500000,26,none,0.000000,0.500000,0.000000
107.400000,none,27,17.487249,0.000000,0.300000
108.000000,27,none,0.000000,0.500000,0.000000
108.100000,none,27,17.391217,0.000000,0.300000
108.600000,27,none,0.000000,0.500000,0.000000
111.200000,none,20,16.801837,0.000000,0.300000
111.600000,20,none,0.000000,0.500000,0.000000
112.400000,none,20,17.984982,0.000000,0.300000
112.800000,20,none,0.000000,0.500000,0.000000
113.500000,none,13,16.673766,0.000000,0.300000
114.200000,13,none,0.000000,0.500000,0.000000
114.700000,none,6,16.778335,0.000000,0.300000
115.400000,6,none,0.000000,0.500000,0.000000
116.400000,none,6,19.426595,0.000000,0.300000
116.700000,6,none,0.000000,0.500000,0.000000
117.400000,none,6,18.350950,0.000000,0.300000
117.700000,6,none,0.000000,0.500000,0.000000
118.300000,none,5,16.609726,0.000000,0.300000
118.500000,5,none,0.000000,0.500000,0.000000
118.600000,none,5,16.630543,0.000000,0.300000
118.700000,5,none,0.000000,0.500000,0.000000
119.800000,none,11,19.831867,0.000000,0.300000
