time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,8,7.495902,0.008888,0.000237,3.370924
0.100000,8,9,13.764585,0.000001,0.299871,0.002668
0.300000,9,none,0.000000,0.500000,0.000000,0.000000
0.800000,none,8,4.518996,0.046238,0.000000,inf
1.400000,8,none,0.000000,0.500000,0.000000,0.000000
2.200000,none,2,11.514257,0.000083,0.280631,0.002851
3.100000,2,3,14.854365,0.000000,0.299996,0.002667
4.600000,3,none,0.000000,0.500000,0.000000,0.000000
5.100000,none,8,5.353504,0.032002,0.000000,532789095.706549
5.200000,8,9,6.068250,0.022163,0.000000,163178.535498
5.300000,9,none,0.000000,0.500000,0.000000,0.000000
5.800000,none,9,15.345102,0.000000,0.299999,0.002667
6.000000,9,none,0.000000,0.500000,0.000000,0.000000
6.100000,none,9,8.575423,0.003638,0.016248,0.049236
6.400000,9,none,0.000000,0.500000,0.000000,0.000000
6.800000,none,10,6.635909,0.015904,0.000001,990.693398
7.600000,10,9,12.059039,0.000031,0.292748,0.002733
7.900000,9,none,0.000000,0.500000,0.000000,0.000000
8.400000,none,10,9.432462,0.001527,0.088348,0.009055
8.600000,10,9,12.791252,0.000006,0.298449,0.002681
8.800000,9,none,0.000000,0.500000,0.000000,0.000000
9.000000,none,3,6.435478,0.017959,0.000000,5276.944290
9.600000,3,none,0.000000,0.500000,0.000000,0.000000
10.600000,none,9,12.355919,0.000017,0.295995,0.002703
10.900000,9,none,0.000000,0.500000,0.000000,0.000000
11.600000,none,9,7.206115,0.010939,0.000045,17.680301
11.700000,9,none,0.000000,0.500000,0.000000,0.000000
12.200000,none,3,8.166627,0.005225,0.004538,0.176300
12.300000,3,2,16.190631,0.000000,0.300000,0.002667
12.700000,2,none,0.000000,0.500000,0.000000,0.000000
12.800000,none,2,5.536850,0.029268,0.000000,55796445.384427
13.100000,2,none,0.000000,0.500000,0.000000,0.000000
13.200000,none,2,6.542882,0.016837,0.000000,2116.504805
13.500000,2,none,0.000000,0.500000,0.000000,0.000000
13.600000,none,2,13.373297,0.000002,0.299626,0.002670
13.900000,2,none,0.000000,0.500000,0.000000,0.000000
14.300000,none,8,4.654552,0.043731,0.000000,8006399337547.546875
14.400000,8,none,0.000000,0.500000,0.000000,0.000000
14.600000,none,8,12.570143,0.000011,0.297459,0.002689
15.000000,8,none,0.000000,0.500000,0.000000,0.000000
16.600000,none,1,15.099273,0.000000,0.299998,0.002667
17.000000,1,none,0.000000,0.500000,0.000000,0.000000
17.300000,none,8,8.666706,0.003341,0.020624,0.038790
17.800000,8,none,0.000000,0.500000,0.000000,0.000000
18.100000,none,15,8.095017,0.005550,0.003494,0.228937
18.700000,15,14,7.927131,0.006371,0.001805,0.443152
19.100000,14,15,10.769208,0.000275,0.240739,0.003323
19.600000,15,16,11.906879,0.000041,0.290325,0.002756
20.300000,16,none,0.000000,0.500000,0.000000,0.000000
20.800000,none,16,15.608759,0.000000,0.300000,0.002667
21.000000,16,none,0.000000,0.500000,0.000000,0.000000
21.200000,none,10,9.744882,0.001068,0.127642,0.006268
22.000000,10,9,13.122734,0.000003,0.299294,0.002673
23.200000,9,none,0.000000,0.500000,0.000000,0.000000
23.300000,none,8,8.076179,0.005638,0.003256,0.245714
23.500000,8,9,11.461057,0.000091,0.278837,0.002869
24.000000,9,10,15.535145,0.000000,0.300000,0.002667
24.600000,10,none,0.000000,0.500000,0.000000,0.000000
24.900000,none,15,7.930342,0.006354,0.001829,0.437306
25.100000,15,none,0.000000,0.500000,0.000000,0.000000
25.500000,none,9,4.820366,0.040765,0.000000,774812839117.504639
25.800000,9,none,0.000000,0.500000,0.000000,0.000000
25.900000,none,8,6.408608,0.018248,0.000000,6673.859443
26.800000,8,none,0.000000,0.500000,0.000000,0.000000
26.900000,none,8,5.112318,0.035818,0.000000,12555775228.772945
27.700000,8,none,0.000000,0.500000,0.000000,0.000000
