time_s,serving_AP,SNR_AP0_dB,SNR_AP1_dB,SNR_AP2_dB,SNR_AP3_dB,SNR_AP4_dB,SNR_AP5_dB,SNR_AP6_dB,SNR_AP7_dB,SNR_AP8_dB,SNR_AP9_dB,SNR_AP10_dB,SNR_AP11_dB,SNR_AP12_dB,SNR_AP13_dB,SNR_AP14_dB,SNR_AP15_dB,SNR_AP16_dB,SNR_AP17_dB
0.000000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.495902,7.495902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.314752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.588894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.042210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.413207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.531798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.662366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.494143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.908880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.990577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.988975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.886726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.733380,7.423282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.493227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.723886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.161065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.275038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.216975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.111042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
