time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps
0.700000,none,9,17.766037,0.000000,0.300000
1.000000,9,none,0.000000,0.500000,0.000000
1.500000,none,1,18.136614,0.000000,0.300000
1.600000,1,none,0.000000,0.500000,0.000000
2.100000,none,1,18.070016,0.000000,0.300000
2.400000,1,none,0.000000,0.500000,0.000000
3.500000,none,7,18.627445,0.000000,0.300000
3.600000,7,none,0.000000,0.500000,0.000000
4.100000,none,8,18.134055,0.000000,0.300000
4.300000,8,none,0.000000,0.500000,0.000000
4.700000,none,15,17.874163,0.000000,0.300000
5.100000,15,none,0.000000,0.500000,0.000000
5.600000,none,15,21.219576,0.000000,0.300000
5.800000,15,none,0.000000,0.500000,0.000000
6.000000,none,16,18.808415,0.000000,0.300000
6.100000,16,none,0.000000,0.500000,0.000000
7.000000,none,24,20.822295,0.000000,0.300000
7.300000,24,none,0.000000,0.500000,0.000000
8.300000,none,25,17.312811,0.000000,0.300000
8.400000,25,none,0.000000,0.500000,0.000000
8.500000,none,26,19.180330,0.000000,0.300000
8.700000,26,none,0.000000,0.500000,0.000000
8.900000,none,19,19.725481,0.000000,0.300000
9.400000,19,none,0.000000,0.500000,0.000000
9.700000,none,19,23.127700,0.000000,0.300000
9.900000,19,none,0.000000,0.500000,0.000000
10.100000,none,19,21.800623,0.000000,0.300000
10.300000,19,none,0.000000,0.500000,0.000000
10.400000,none,19,17.608786,0.000000,0.300000
10.500000,19,none,0.000000,0.500000,0.000000
11.000000,none,19,21.885506,0.000000,0.300000
11.600000,19,none,0.000000,0.500000,0.000000
11.700000,none,20,16.976065,0.000000,0.300000
11.800000,20,none,0.000000,0.500000,0.000000
12.000000,none,19,19.752529,0.000000,0.300000
12.100000,19,none,0.000000,0.500000,0.000000
12.900000,none,19,18.648277,0.000000,0.300000
13.100000,19,none,0.000000,0.500000,0.000000
13.900000,none,12,21.888834,0.000000,0.300000
14.100000,12,none,0.000000,0.500000,0.000000
14.800000,none,5,20.442285,0.000000,0.300000
14.900000,5,none,0.000000,0.500000,0.000000
15.000000,none,6,17.331412,0.000000,0.300000
15.400000,6,none,0.000000,0.500000,0.000000
16.700000,none,13,17.823255,0.000000,0.300000
17.200000,13,none,0.000000,0.500000,0.000000
17.300000,none,13,16.836923,0.000000,0.300000
17.600000,13,none,0.000000,0.500000,0.000000
18.200000,none,12,16.936838,0.000000,0.300000
18.300000,12,none,0.000000,0.500000,0.000000
18.900000,none,19,16.727886,0.000000,0.300000
19.000000,19,none,0.000000,0.500000,0.000000
19.400000,none,19,22.715633,0.000000,0.300000
19.700000,19,none,0.000000,0.500000,0.000000
19.800000,none,19,18.114462,0.000000,0.300000
19.900000,19,none,0.000000,0.500000,0.000000
20.200000,none,18,22.048062,0.000000,0.300000
20.500000,18,none,0.000000,0.500000,0.000000
21.300000,none,19,16.758840,0.000000,0.300000
21.500000,19,none,0.000000,0.500000,0.000000
21.600000,none,18,16.882824,0.000000,0.300000
21.900000,18,none,0.000000,0.500000,0.000000
22.100000,none,18,18.389435,0.000000,0.300000
22.300000,18,none,0.000000,0.500000,0.000000
23.700000,none,26,20.497138,0.000000,0.300000
23.900000,26,none,0.000000,0.500000,0.000000
24.400000,none,20,16.637595,0.000000,0.300000
24.800000,20,none,0.000000,0.500000,0.000000
25.200000,none,13,17.627336,0.000000,0.300000
25.500000,13,none,0.000000,0.500000,0.000000
26.000000,none,19,20.011909,0.000000,0.300000
26.300000,19,none,0.000000,0.500000,0.000000
26.800000,none,18,21.649219,0.000000,0.300000
27.000000,18,none,0.000000,0.500000,0.000000
27.800000,none,16,20.909272,0.000000,0.300000
28.400000,16,none,0.000000,0.500000,0.000000
29.100000,none,14,18.082252,0.000000,0.300000
29.200000,14,none,0.000000,0.500000,0.000000
29.600000,none,14,21.579768,0.000000,0.300000
30.000000,14,none,0.000000,0.500000,0.000000
30.100000,none,14,21.331376,0.000000,0.300000
30.400000,14,none,0.000000,0.500000,0.000000
30.500000,none,15,20.599091,0.000000,0.300000
30.700000,15,none,0.000000,0.500000,0.000000
30.800000,none,14,18.277066,0.000000,0.300000
31.100000,14,none,0.000000,0.500000,0.000000
31.600000,none,8,20.246043,0.000000,0.300000
31.900000,8,none,0.000000,0.500000,0.000000
32.400000,none,15,20.067888,0.000000,0.300000
32.500000,15,none,0.000000,0.500000,0.000000
32.900000,none,16,22.202357,0.000000,0.300000
33.200000,16,none,0.000000,0.500000,0.000000
33.300000,none,15,17.119913,0.000000,0.300000
33.500000,15,none,0.000000,0.500000,0.000000
33.700000,none,15,19.145967,0.000000,0.300000
34.000000,15,none,0.000000,0.500000,0.000000
34.200000,none,22,20.631327,0.000000,0.300000
34.400000,22,none,0.000000,0.500000,0.000000
34.800000,none,15,17.047134,0.000000,0.300000
35.000000,15,none,0.000000,0.500000,0.000000
36.400000,none,15,22.660664,0.000000,0.300000
36.600000,15,none,0.000000,0.500000,0.000000
36.900000,none,8,18.313677,0.000000,0.300000
37.000000,8,none,0.000000,0.500000,0.000000
37.200000,none,7,17.268687,0.000000,0.300000
37.400000,7,none,0.000000,0.500000,0.000000
38.100000,none,8,16.945857,0.000000,0.300000
38.200000,8,none,0.000000,0.500000,0.000000
39.400000,none,0,20.390506,0.000000,0.300000
39.500000,0,none,0.000000,0.500000,0.000000
39.900000,none,0,19.285079,0.000000,0.300000
40.000000,0,none,0.000000,0.500000,0.000000
40.700000,none,0,17.552382,0.000000,0.300000
41.100000,0,none,0.000000,0.500000,0.000000
41.200000,none,0,18.592166,0.000000,0.300000
41.300000,0,none,0.000000,0.500000,0.000000
41.600000,none,0,18.798740,0.000000,0.300000
41.700000,0,none,0.000000,0.500000,0.000000
41.800000,none,1,18.562305,0.000000,0.300000
42.000000,1,none,0.000000,0.500000,0.000000
42.300000,none,2,18.551603,0.000000,0.300000
42.500000,2,none,0.000000,0.500000,0.000000
42.700000,none,2,21.460422,0.000000,0.300000
42.900000,2,none,0.000000,0.500000,0.000000
43.300000,none,9,18.988929,0.000000,0.300000
43.500000,9,none,0.000000,0.500000,0.000000
43.600000,none,9,19.275777,0.000000,0.300000
43.900000,9,none,0.000000,0.500000,0.000000
44.000000,none,9,22.215614,0.000000,0.300000
44.200000,9,none,0.000000,0.500000,0.000000
44.600000,none,2,19.273260,0.000000,0.300000
44.800000,2,none,0.000000,0.500000,0.000000
45.200000,none,1,18.732991,0.000000,0.300000
45.500000,1,none,0.000000,0.500000,0.000000
45.900000,none,2,21.556259,0.000000,0.300000
46.100000,2,none,0.000000,0.500000,0.000000
46.300000,none,2,22.890064,0.000000,0.300000
46.500000,2,none,0.000000,0.500000,0.000000
47.100000,none,9,17.729541,0.000000,0.300000
47.300000,9,none,0.000000,0.500000,0.000000
48.200000,none,0,19.868024,0.000000,0.300000
48.400000,0,none,0.000000,0.500000,0.000000
49.100000,none,8,17.158905,0.000000,0.300000
49.400000,8,none,0.000000,0.500000,0.000000
50.400000,none,14,19.883682,0.000000,0.300000
50.600000,14,none,0.000000,0.500000,0.000000
50.700000,none,14,16.889761,0.000000,0.300000
51.000000,14,none,0.000000,0.500000,0.000000
51.700000,none,14,22.504234,0.000000,0.300000
51.900000,14,none,0.000000,0.500000,0.000000
52.100000,none,21,19.841027,0.000000,0.300000
52.200000,21,none,0.000000,0.500000,0.000000
52.500000,none,21,19.050090,0.000000,0.300000
52.600000,21,none,0.000000,0.500000,0.000000
53.200000,none,16,19.537281,0.000000,0.300000
53.500000,16,none,0.000000,0.500000,0.000000
54.300000,none,16,18.935844,0.000000,0.300000
54.500000,16,none,0.000000,0.500000,0.000000
55.500000,none,24,19.131535,0.000000,0.300000
55.600000,24,none,0.000000,0.500000,0.000000
55.800000,none,23,17.690147,0.000000,0.300000
55.900000,23,none,0.000000,0.500000,0.000000
56.800000,none,15,20.142275,0.000000,0.300000
56.900000,15,none,0.000000,0.500000,0.000000
57.300000,none,15,19.908716,0.000000,0.300000
57.500000,15,none,0.000000,0.500000,0.000000
58.100000,none,9,19.070371,0.000000,0.300000
58.300000,9,none,0.000000,0.500000,0.000000
59.300000,none,0,21.011760,0.000000,0.300000
59.500000,0,none,0.000000,0.500000,0.000000
61.200000,none,15,18.477332,0.000000,0.300000
61.500000,15,none,0.000000,0.500000,0.000000
61.600000,none,16,19.912041,0.000000,0.300000
62.100000,16,none,0.000000,0.500000,0.000000
62.200000,none,15,18.172943,0.000000,0.300000
62.400000,15,none,0.000000,0.500000,0.000000
62.900000,none,16,17.543264,0.000000,0.300000
63.000000,16,none,0.000000,0.500000,0.000000
63.100000,none,16,19.173916,0.000000,0.300000
63.200000,16,none,0.000000,0.500000,0.000000
64.200000,none,23,16.827769,0.000000,0.300000
64.300000,23,none,0.000000,0.500000,0.000000
64.800000,none,16,22.392556,0.000000,0.300000
65.000000,16,none,0.000000,0.500000,0.000000
65.200000,none,16,19.503182,0.000000,0.300000
65.300000,16,none,0.000000,0.500000,0.000000
66.900000,none,17,16.734880,0.000000,0.300000
67.200000,17,none,0.000000,0.500000,0.000000
67.500000,none,18,18.749299,0.000000,0.300000
67.600000,18,none,0.000000,0.500000,0.000000
67.800000,none,17,19.466256,0.000000,0.300000
68.000000,17,none,0.000000,0.500000,0.000000
68.400000,none,24,17.256188,0.000000,0.300000
68.500000,24,none,0.000000,0.500000,0.000000
69.000000,none,23,19.402303,0.000000,0.300000
69.100000,23,none,0.000000,0.500000,0.000000
70.100000,none,16,19.162989,0.000000,0.300000
70.200000,16,none,0.000000,0.500000,0.000000
70.500000,none,16,17.538634,0.000000,0.300000
70.800000,16,none,0.000000,0.500000,0.000000
71.100000,none,9,22.228461,0.000000,0.300000
71.300000,9,none,0.000000,0.500000,0.000000
71.600000,none,16,20.345027,0.000000,0.300000
71.800000,16,none,0.000000,0.500000,0.000000
72.300000,none,16,17.681753,0.000000,0.300000
72.500000,16,none,0.000000,0.500000,0.000000
72.900000,none,23,19.189027,0.000000,0.300000
73.100000,23,none,0.000000,0.500000,0.000000
73.600000,none,24,20.282696,0.000000,0.300000
