time_s,serving_AP,SNR_AP0_dB,SNR_AP1_dB,SNR_AP2_dB,SNR_AP3_dB,SNR_AP4_dB,SNR_AP5_dB
0.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,0,18.006334,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,0,21.211723,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0,23.258386,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,0,23.859192,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0,22.920744,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,0,20.587045,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0,17.173364,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400000,2,0.000000,0.000000,18.800241,0.000000,0.000000,0.000000
2.500000,2,0.000000,0.000000,21.778886,0.000000,0.000000,0.000000
2.600000,2,0.000000,0.000000,23.523827,0.000000,0.000000,0.000000
2.700000,2,0.000000,0.000000,23.782184,0.000000,0.000000,0.000000
2.800000,2,0.000000,0.000000,22.513501,0.000000,0.000000,0.000000
2.900000,2,0.000000,0.000000,19.908855,0.000000,0.000000,0.000000
3.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.600000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.700000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.800000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.900000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.200000,4,0.000000,0.000000,0.000000,0.000000,19.550975,0.000000
4.300000,4,0.000000,0.000000,0.000000,0.000000,22.284714,0.000000
4.400000,4,0.000000,0.000000,0.000000,0.000000,23.714974,0.000000
4.500000,4,0.000000,0.000000,0.000000,0.000000,23.628797,0.000000
4.600000,4,0.000000,0.000000,0.000000,0.000000,22.039697,0.000000
4.700000,4,0.000000,0.000000,0.000000,0.000000,19.181263,0.000000
4.800000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.900000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.600000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.700000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.800000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.900000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
