time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
62.100000,24,none,0.000000,0.500000,0.000000,0.000000
62.300000,none,16,5.028399,0.037203,0.000000,39635640284.888855
62.900000,16,17,13.254943,0.000002,0.299493,0.002671
64.700000,17,10,9.933625,0.000850,0.151950,0.005265
65.600000,10,11,13.603826,0.000001,0.299798,0.002668
66.500000,11,4,7.005468,0.012541,0.000012,64.682251
66.900000,4,3,11.604946,0.000071,0.283395,0.002823
69.500000,3,10,6.817844,0.014180,0.000003,244.337133
69.600000,10,3,7.402365,0.009517,0.000143,5.601728
70.800000,3,4,9.519278,0.001386,0.098933,0.008086
72.600000,4,5,8.606798,0.003534,0.017668,0.045280
72.900000,5,12,7.236350,0.010711,0.000054,14.699639
73.300000,12,none,0.000000,0.500000,0.000000,0.000000
73.400000,none,11,6.671863,0.015553,0.000001,744.664866
74.700000,11,none,0.000000,0.500000,0.000000,0.000000
74.900000,none,12,5.439265,0.030706,0.000000,182552768.880194
75.100000,12,5,4.741656,0.042159,0.000000,2401919801264.264648
75.200000,5,none,0.000000,0.500000,0.000000,0.000000
75.400000,none,4,6.223753,0.020313,0.000000,35979.598983
75.700000,4,none,0.000000,0.500000,0.000000,0.000000
75.900000,none,12,6.774488,0.014579,0.000002,337.675291
76.300000,12,11,13.903857,0.000000,0.299914,0.002667
79.400000,11,4,6.808487,0.014266,0.000003,261.870199
80.600000,4,none,0.000000,0.500000,0.000000,0.000000
80.700000,none,11,6.573393,0.016527,0.000000,1644.631694
81.700000,11,12,16.398529,0.000000,0.300000,0.002667
82.500000,12,5,7.442023,0.009246,0.000178,4.502600
87.600000,5,4,13.022337,0.000004,0.299099,0.002675
89.600000,4,none,0.000000,0.500000,0.000000,0.000000
89.700000,none,3,7.207756,0.010926,0.000046,17.502711
90.300000,3,10,8.960231,0.002512,0.040115,0.019942
90.800000,10,3,4.800990,0.041106,0.000000,1000799917193.443359
91.200000,3,2,11.253957,0.000129,0.270497,0.002958
91.900000,2,9,8.342839,0.004487,0.008214,0.097397
92.300000,9,2,10.667014,0.000319,0.232367,0.003443
93.000000,2,3,6.671222,0.015559,0.000001,748.437113
93.200000,3,2,9.737353,0.001077,0.126670,0.006316
94.000000,2,3,5.966653,0.023427,0.000000,459424.034265
94.100000,3,none,0.000000,0.500000,0.000000,0.000000
94.300000,none,10,5.357754,0.031937,0.000000,504923229.191563
96.300000,10,11,15.017673,0.000000,0.299998,0.002667
96.900000,11,10,13.242313,0.000002,0.299477,0.002671
97.300000,10,11,14.163830,0.000000,0.299961,0.002667
98.500000,11,12,6.428900,0.018030,0.000000,5587.928691
