time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,10,6.459435,0.017705,0.000000,4289.182117
0.100000,10,17,7.020238,0.012418,0.000014,58.538826
1.500000,17,16,6.225309,0.020295,0.000000,35454.706662
4.400000,16,none,0.000000,0.500000,0.000000,0.000000
4.700000,none,16,4.712599,0.042680,0.000000,4003199668773.773438
7.100000,16,none,0.000000,0.500000,0.000000,0.000000
7.600000,none,15,4.435399,0.047820,0.000000,inf
8.400000,15,16,9.549257,0.001339,0.102666,0.007792
9.300000,16,15,12.663475,0.000009,0.297930,0.002685
11.900000,15,22,6.605027,0.016210,0.000001,1270.446108
15.500000,22,15,6.403100,0.018307,0.000000,7005.166673
19.800000,15,8,6.742154,0.014881,0.000002,431.577724
22.300000,8,15,5.753538,0.026224,0.000000,4556400.621649
22.700000,15,8,5.950546,0.023632,0.000000,543234.189466
25.800000,8,7,10.019453,0.000764,0.162791,0.004914
28.600000,7,14,7.168740,0.011226,0.000036,22.299158
33.900000,14,15,9.431557,0.001528,0.088240,0.009066
34.700000,15,none,0.000000,0.500000,0.000000,0.000000
35.100000,none,14,4.617230,0.044414,0.000000,24019198012642.644531
35.700000,14,7,5.481858,0.030073,0.000000,108342947.155757
36.200000,7,14,6.575065,0.016510,0.000000,1622.208091
40.700000,14,15,8.644020,0.003413,0.019466,0.041098
45.900000,15,14,6.020267,0.022754,0.000000,264814.580140
47.200000,14,15,10.015805,0.000767,0.162335,0.004928
49.300000,15,8,7.184079,0.011107,0.000039,20.262504
50.300000,8,15,6.012626,0.022849,0.000000,286263.076669
54.300000,15,16,11.633735,0.000068,0.284200,0.002815
58.600000,16,23,7.282324,0.010370,0.000072,11.160825
62.300000,23,22,7.263904,0.010506,0.000064,12.453307
63.700000,22,23,7.788807,0.007112,0.000994,0.805040
65.300000,23,16,6.953020,0.012986,0.000009,92.713589
66.900000,16,17,9.173467,0.002019,0.059575,0.013428
68.200000,17,16,11.635502,0.000067,0.284248,0.002814
69.600000,16,17,8.393157,0.004292,0.009610,0.083244
72.400000,17,16,10.760145,0.000279,0.240028,0.003333
74.400000,16,23,7.052510,0.012152,0.000017,47.183684
76.400000,23,22,12.115346,0.000027,0.293499,0.002726
76.700000,22,23,12.372297,0.000016,0.296129,0.002702
79.400000,23,22,12.059552,0.000031,0.292755,0.002733
81.200000,22,none,0.000000,0.500000,0.000000,0.000000
81.900000,none,16,5.857377,0.024837,0.000000,1458991.081430
83.200000,16,15,5.396988,0.031341,0.000000,308468368.898398
84.300000,15,none,0.000000,0.500000,0.000000,0.000000
85.100000,none,23,5.510433,0.029653,0.000000,76636551.344192
87.300000,23,none,0.000000,0.500000,0.000000,0.000000
87.400000,none,16,5.405280,0.031216,0.000000,278160949.770036
91.500000,16,none,0.000000,0.500000,0.000000,0.000000
91.800000,none,9,4.493882,0.046710,0.000000,inf
93.700000,9,16,7.364545,0.009780,0.000115,6.928601
97.200000,16,17,6.185258,0.020761,0.000000,51888.914414
99.200000,17,24,5.933722,0.023846,0.000000,647802.087121
100.900000,24,25,11.608934,0.000071,0.283509,0.002822
104.400000,25,none,0.000000,0.500000,0.000000,0.000000
104.500000,none,26,4.944800,0.038613,0.000000,127761691556.609818
112.900000,26,none,0.000000,0.500000,0.000000,0.000000
113.700000,none,20,5.279117,0.033153,0.000000,1379462325.559536
117.000000,20,none,0.000000,0.500000,0.000000,0.000000
117.400000,none,27,4.768969,0.041672,0.000000,1601279867509.509766
118.000000,27,26,8.236816,0.004921,0.005795,0.138041
118.800000,26,27,11.098621,0.000166,0.262648,0.003046
